offer_id,logo_file,offer_name,source,source_file,output_size,mode,corner_alpha,condition
8835,8835-onlyfans-renae-erica-80x80-transparent.png,OnlyFans - Renae Erica,existing,OF RenaeErica.png,80x80,RGBA,"0,0,0,0","OK: 80x80 PNG, transparent rounded corners radius 16px"
9248,9248-faphouse-com-revshare-80x80-transparent.png,Faphouse.com - Revshare,official,faphouse-80x80-transparent.png,80x80,RGBA,"0,0,0,0","OK: 80x80 PNG, transparent rounded corners radius 16px"
9927,9927-sextpanther-revshare-80x80-transparent.png,SextPanther - Revshare,official,sexpanther-80x80-transparent.png,80x80,RGBA,"0,0,0,0","OK: 80x80 PNG, transparent rounded corners radius 16px"
9304,9304-mym-fans-all-models-revshare-80x80-transparent.png,MYM.fans - All Models - Revshare,existing,Mym_fans.jpg,80x80,RGBA,"0,0,0,0","OK: 80x80 PNG, transparent rounded corners radius 16px"
9973,9973-bellesaplus-revshare-80x80-transparent.png,BellesaPlus - Revshare,official,bellesaplus-80x80-transparent.png,80x80,RGBA,"0,0,0,0","OK: 80x80 PNG, transparent rounded corners radius 16px"
7306,,BrainPill - Revshare - Responsive,missing,,,,,MISSING SOURCE
3611,3611-camera-prive-revshare-80x80-transparent.png,Camera Prive - Revshare,existing,camera prive.png,80x80,RGBA,"0,0,0,0","OK: 80x80 PNG, transparent rounded corners radius 16px"
5230,5230-cams-com-revshare-lifetime-80x80-transparent.png,Cams.com - Revshare Lifetime,official,cams-com-80x80-transparent.png,80x80,RGBA,"0,0,0,0","OK: 80x80 PNG, transparent rounded corners radius 16px"
5170,5170-camsoda-revshare-lifetime-80x80-transparent.png,Camsoda - Revshare Lifetime,existing,camsoda.png,80x80,RGBA,"0,0,0,0","OK: 80x80 PNG, transparent rounded corners radius 16px"
9940,,Erectin Gummies - Revshare,missing,,,,,MISSING SOURCE
7106,7106-extenze-revshare-80x80-transparent.png,Extenze - Revshare,existing,Extenze.png,80x80,RGBA,"0,0,0,0","OK: 80x80 PNG, transparent rounded corners radius 16px"
10140,10140-fanfinity-revshare-80x80-transparent.png,Fanfinity - Revshare,official,fanfinity-80x80-transparent.png,80x80,RGBA,"0,0,0,0","OK: 80x80 PNG, transparent rounded corners radius 16px"
10057,10057-fantasy-ai-revshare-80x80-transparent.png,Fantasy.Ai - Revshare,existing,fantasy ai.png,80x80,RGBA,"0,0,0,0","OK: 80x80 PNG, transparent rounded corners radius 16px"
10394,10394-fanvue-amber-santori-80x80-transparent.png,Fanvue - Amber Santori,existing,Fanvue AMBER.png,80x80,RGBA,"0,0,0,0","OK: 80x80 PNG, transparent rounded corners radius 16px"
10397,10397-fanvue-ava-harrington-80x80-transparent.png,Fanvue - Ava Harrington,existing,Fanvue AVA.png,80x80,RGBA,"0,0,0,0","OK: 80x80 PNG, transparent rounded corners radius 16px"
10399,10399-fanvue-carys-80x80-transparent.png,Fanvue - Carys,existing,Fanvue CARYS.png,80x80,RGBA,"0,0,0,0","OK: 80x80 PNG, transparent rounded corners radius 16px"
10396,10396-fanvue-lina-rose-80x80-transparent.png,Fanvue - Lina Rose,existing,Fanvue LINA ROSE.png,80x80,RGBA,"0,0,0,0","OK: 80x80 PNG, transparent rounded corners radius 16px"
10400,10400-fanvue-mai-80x80-transparent.png,Fanvue - Mai,existing,Fanvue MAI.png,80x80,RGBA,"0,0,0,0","OK: 80x80 PNG, transparent rounded corners radius 16px"
10395,10395-fanvue-mila-lerue-80x80-transparent.png,Fanvue - Mila LeRue,existing,Fanvue MILA LeRue.png,80x80,RGBA,"0,0,0,0","OK: 80x80 PNG, transparent rounded corners radius 16px"
10393,10393-fanvue-sofia-storme-80x80-transparent.png,Fanvue - Sofia Storme,existing,Fanvue SOFIA STORME.png,80x80,RGBA,"0,0,0,0","OK: 80x80 PNG, transparent rounded corners radius 16px"
10398,10398-fanvue-talia-rose-80x80-transparent.png,Fanvue - Talia Rose,existing,Fanvue TALIA ROSE.png,80x80,RGBA,"0,0,0,0","OK: 80x80 PNG, transparent rounded corners radius 16px"
2622,,Fleshlight - Revshare,missing,,,,,MISSING SOURCE
4490,,Flirt4Free - Revshare,missing,,,,,MISSING SOURCE
4487,4487-live-jasmin-revshare-80x80-transparent.png,Live Jasmin - Revshare,official,livejasmin-80x80-transparent.png,80x80,RGBA,"0,0,0,0","OK: 80x80 PNG, transparent rounded corners radius 16px"
10318,10318-mylovely-ai-revshare-lifetime-80x80-transparent.png,MyLovely Ai - Revshare Lifetime,existing,MyLovelyAI.png,80x80,RGBA,"0,0,0,0","OK: 80x80 PNG, transparent rounded corners radius 16px"
9292,9292-onlyfans-bridgette-b-80x80-transparent.png,OnlyFans - Bridgette B,existing,OF_BrigetteB.png,80x80,RGBA,"0,0,0,0","OK: 80x80 PNG, transparent rounded corners radius 16px"
9293,9293-onlyfans-gabby-epstein-80x80-transparent.png,OnlyFans - Gabby Epstein,existing,OF_GabbyEpstein.png,80x80,RGBA,"0,0,0,0","OK: 80x80 PNG, transparent rounded corners radius 16px"
8828,8828-onlyfans-mia-malkova-80x80-transparent.png,OnlyFans - Mia Malkova,existing,OF MiaMalkova.png,80x80,RGBA,"0,0,0,0","OK: 80x80 PNG, transparent rounded corners radius 16px"
9096,9096-onlyfans-neko-80x80-transparent.png,OnlyFans - Neko,existing,OF Neko.jpg,80x80,RGBA,"0,0,0,0","OK: 80x80 PNG, transparent rounded corners radius 16px"
8837,8837-onlyfans-simone-80x80-transparent.png,OnlyFans - Simone,existing,OF Simone.png,80x80,RGBA,"0,0,0,0","OK: 80x80 PNG, transparent rounded corners radius 16px"
9048,9048-onlyfans-sophie-dee-80x80-transparent.png,OnlyFans - Sophie Dee,existing,OF SophieDee.png,80x80,RGBA,"0,0,0,0","OK: 80x80 PNG, transparent rounded corners radius 16px"
9181,9181-onlyfans-yummy-couple-80x80-transparent.png,OnlyFans - Yummy Couple,existing,OF YummiCouple.png,80x80,RGBA,"0,0,0,0","OK: 80x80 PNG, transparent rounded corners radius 16px"
7104,,ProSolution Plus - Revshare,missing,,,,,MISSING SOURCE
9410,,SakuraLive - Revshare,missing,,,,,MISSING SOURCE
7074,,Semenax - Revshare,missing,,,,,MISSING SOURCE
7103,,TestRX - Revshare - Responsive,missing,,,,,MISSING SOURCE
6606,,VigRX Plus - Revshare,missing,,,,,MISSING SOURCE
7105,,Volume Pills - Revshare,missing,,,,,MISSING SOURCE
10401,,Xotic AI - Revshare,missing,,,,,MISSING SOURCE
8780,jerkmate-80x80-transparent.png,Jerkmate - PPS,official,jerkmate-80x80-transparent.png,80x80,RGBA,"0,0,0,0","OK: 80x80 PNG, transparent rounded corners radius 16px"
,adult-friendfinder-80x80-transparent.png,,existing,adult-friendfinder-80x80-transparent.png,80x80,RGBA,"0,0,0,0","OK: 80x80 PNG, transparent rounded corners radius 16px"
,alt-80x80-transparent.png,,existing,alt-80x80-transparent.png,80x80,RGBA,"0,0,0,0","OK: 80x80 PNG, transparent rounded corners radius 16px"
,ashley-madison-80x80-transparent.png,,existing,ashley-madison-80x80-transparent.png,80x80,RGBA,"0,0,0,0","OK: 80x80 PNG, transparent rounded corners radius 16px"
,beianrufsex-80x80-transparent.png,,existing,beianrufsex-80x80-transparent.png,80x80,RGBA,"0,0,0,0","OK: 80x80 PNG, transparent rounded corners radius 16px"
,bellesaplus-80x80-transparent.png,,existing,bellesaplus-80x80-transparent.png,80x80,RGBA,"0,0,0,0","OK: 80x80 PNG, transparent rounded corners radius 16px"
,blacked-80x80-transparent.png,,existing,blacked-80x80-transparent.png,80x80,RGBA,"0,0,0,0","OK: 80x80 PNG, transparent rounded corners radius 16px"
,blacked-raw-80x80-transparent.png,,existing,blacked-raw-80x80-transparent.png,80x80,RGBA,"0,0,0,0","OK: 80x80 PNG, transparent rounded corners radius 16px"
,bongacams-80x80-transparent.png,,existing,bongacams-80x80-transparent.png,80x80,RGBA,"0,0,0,0","OK: 80x80 PNG, transparent rounded corners radius 16px"
,cam4-80x80-transparent.png,,existing,cam4-80x80-transparent.png,80x80,RGBA,"0,0,0,0","OK: 80x80 PNG, transparent rounded corners radius 16px"
,camirada-80x80-transparent.png,,existing,camirada-80x80-transparent.png,80x80,RGBA,"0,0,0,0","OK: 80x80 PNG, transparent rounded corners radius 16px"
