offer_id,offer_name,reason
7306,BrainPill - Revshare - Responsive,No matching logo source in Revshare.zip or official logo pack
9940,Erectin Gummies - Revshare,No matching logo source in Revshare.zip or official logo pack
2622,Fleshlight - Revshare,No matching logo source in Revshare.zip or official logo pack
4490,Flirt4Free - Revshare,No matching logo source in Revshare.zip or official logo pack
7104,ProSolution Plus - Revshare,No matching logo source in Revshare.zip or official logo pack
9410,SakuraLive - Revshare,No matching logo source in Revshare.zip or official logo pack
7074,Semenax - Revshare,No matching logo source in Revshare.zip or official logo pack
7103,TestRX - Revshare - Responsive,No matching logo source in Revshare.zip or official logo pack
6606,VigRX Plus - Revshare,No matching logo source in Revshare.zip or official logo pack
7105,Volume Pills - Revshare,No matching logo source in Revshare.zip or official logo pack
10401,Xotic AI - Revshare,No matching logo source in Revshare.zip or official logo pack
